timestamp,th-%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%89%E0%B8%B5%E0%B8%94%E0%B9%80%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%AB%E0%B8%A5%E0%B8%AD%E0%B8%94%E0%B9%80%E0%B8%A5%E0%B8%B7%E0%B8%AD%E0%B8%94%E0%B8%94%E0%B8%B3,th-%E0%B8%8A%E0%B9%87%E0%B8%AD%E0%B8%81,th-%E0%B8%9B%E0%B8%A7%E0%B8%94%E0%B8%A8%E0%B8%B5%E0%B8%A3%E0%B8%A9%E0%B8%B0,th-%E0%B8%9B%E0%B8%A7%E0%B8%94%E0%B9%83%E0%B8%99%E0%B8%82%E0%B9%89%E0%B8%AD,th-%E0%B8%9C%E0%B8%B7%E0%B9%88%E0%B8%99,th-%E0%B8%9E%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B9%80%E0%B8%8B%E0%B8%95%E0%B8%B2%E0%B8%A1%E0%B8%AD%E0%B8%A5,th-%E0%B8%A2%E0%B8%B2%E0%B8%86%E0%B9%88%E0%B8%B2%E0%B9%81%E0%B8%A1%E0%B8%A5%E0%B8%87,th-%E0%B8%A2%E0%B8%B2%E0%B8%95%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B9%84%E0%B8%A7%E0%B8%A3%E0%B8%B1%E0%B8%AA,th-%E0%B8%A2%E0%B8%B8%E0%B8%87,th-%E0%B8%AA%E0%B8%A1%E0%B8%AD%E0%B8%87%E0%B8%9A%E0%B8%A7%E0%B8%A1,th-%E0%B8%AA%E0%B8%A1%E0%B8%AD%E0%B8%87%E0%B8%AD%E0%B8%B1%E0%B8%81%E0%B9%80%E0%B8%AA%E0%B8%9A,th-%E0%B8%AD%E0%B8%B2%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%84%E0%B8%B1%E0%B8%99,th-%E0%B9%80%E0%B8%81%E0%B8%A5%E0%B9%87%E0%B8%94%E0%B9%80%E0%B8%A5%E0%B8%B7%E0%B8%AD%E0%B8%94%E0%B8%99%E0%B9%89%E0%B8%AD%E0%B8%A,th-%E0%B9%80%E0%B8%A5%E0%B8%B7%E0%B8%AD%E0%B8%94%E0%B8%AD%E0%B8%AD%E0%B8%81,th-%E0%B9%82%E0%B8%A3%E0%B8%84%E0%B8%AA%E0%B8%A1%E0%B8%AD%E0%B8%87%E0%B8%88%E0%B8%B2%E0%B8%81%E0%B8%95%E0%B8%B1%E0%B8%9A,th-%E0%B9%84%E0%B8%82%E0%B9%89,th-combined,th
12/14/07 3:00,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,26012
12/14/07 4:00,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,30217
12/14/07 5:00,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,30798
12/14/07 6:00,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,30168
12/14/07 7:00,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,33338
12/14/07 8:00,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,33538
12/14/07 9:00,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,30661
12/14/07 10:00,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,27317
12/14/07 11:00,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,23814
12/14/07 12:00,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,23227
12/14/07 13:00,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,23927
12/14/07 14:00,0,0,0,0,0,4,0,5,1,0,0,0,0,0,0,0,0,26328
12/14/07 15:00,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,24337
12/14/07 16:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17524
12/14/07 17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12572
12/14/07 18:00,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,9234
12/14/07 19:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6898
12/14/07 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6139
12/14/07 21:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5280
12/14/07 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3761
12/14/07 23:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3831
12/15/07 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4137
12/15/07 1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5471
12/15/07 2:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9066
12/15/07 3:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17220
12/15/07 4:00,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,25790
12/15/07 5:00,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,32845
12/15/07 6:00,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,32100
12/15/07 7:00,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,33662
12/15/07 8:00,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,33285
12/15/07 9:00,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,32314
12/15/07 10:00,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,33486
12/15/07 11:00,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,24912
12/15/07 12:00,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,33116
12/15/07 13:00,0,0,0,0,0,2,0,1,7,0,0,0,0,0,0,0,0,21115
12/15/07 14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23405
12/15/07 15:00,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,21555
12/15/07 16:00,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,17326
12/15/07 17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13234
12/15/07 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9867
12/15/07 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7601
12/15/07 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5931
12/15/07 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4106
12/15/07 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4419
12/15/07 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4158
12/16/07 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4207
12/16/07 1:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5849
12/16/07 2:00,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9346
12/16/07 3:00,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,16557
12/16/07 4:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23058
12/16/07 5:00,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,27154
12/16/07 6:00,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,27400
12/16/07 7:00,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,28775
12/16/07 8:00,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,29240
12/16/07 9:00,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,33313
12/16/07 10:00,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,30462
12/16/07 11:00,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,37948
